date,een_jaar_geleden_permill,twee_jaar_geleden_permill,drie_jaar_geleden_permill,vier_jaar_geleden_permill,vijf_jaar_geleden_permill,zes_jaar_geleden_permill,zeven_jaar_geleden_permill,acht_jaar_geleden_permill,negen_jaar_geleden_permill,tien_jaar_geleden_permill,elf_jaar_geleden_permill,twaalf_jaar_geleden_permill,dertien_jaar_geleden_permill,veertien_jaar_geleden_permill,vijftien_jaar_geleden_permill,zestien_jaar_geleden_permill,zeventien_jaar_geleden_permill,achttien_jaar_geleden_permill,negentien_jaar_geleden_permill,twintig_jaar_geleden_permill,dertig_jaar_geleden_permill,veertig_jaar_geleden_permill,vijftig_jaar_geleden_permill,zestig_jaar_geleden_permill,zeventig_jaar_geleden_permill,tachtig_jaar_geleden_permill,negentig_jaar_geleden_permill,honderd_jaar_geleden_permill,honderdtien_jaar_geleden_permill,honderdtwintig_jaar_geleden_permill,honderddertig_jaar_geleden_permill,honderdveertig_jaar_geleden_permill,honderdvijftig_jaar_geleden_permill,honderdzestig_jaar_geleden_permill,honderdzeventig_jaar_geleden_permill,honderdtachtig_jaar_geleden_permill,honderdnegentig_jaar_geleden_permill,tweehonderd_jaar_geleden_permill,no_words
1944,0.0,0.0,1.1479619657241515,0.0,0.0,0.0,1.1479619657241515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871109
1945,1.0688636803328013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0688636803328013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935573
1946,2.000787309806409,0.5001968274516022,0.5001968274516022,0.0,0.0,0.0,0.5001968274516022,0.5001968274516022,0.0,1.0003936549032044,0.0,0.0,0.0,0.0,0.0,0.0,0.5001968274516022,0.0,0.0,0.0,0.0,0.5001968274516022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999213
1947,2.620076466931687,1.3100382334658436,1.3100382334658436,0.0,0.0,0.0,0.0,0.6550191167329218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3100382334658436,0.0,0.6550191167329218,0.6550191167329218,0.0,0.0,0.0,0.0,0.6550191167329218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526673
1948,2.3181968601182628,0.5795492150295657,0.0,0.28977460751478284,0.28977460751478284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795492150295657,0.0,0.5795492150295657,0.5795492150295657,0.0,0.5795492150295657,0.0,0.0,0.28977460751478284,0.0,0.0,0.0,0.0,0.28977460751478284,0.0,0.0,0.0,0.0,0.0,3450958
1949,1.3208770227167732,1.98131553407516,0.0,0.3302192556791933,0.6604385113583866,0.0,0.0,0.0,0.0,0.3302192556791933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99065776703758,0.3302192556791933,0.99065776703758,0.3302192556791933,0.3302192556791933,0.0,0.0,0.0,0.6604385113583866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028291
1950,1.5753758846860861,0.450107395624596,0.225053697812298,0.0,0.675161093436894,0.0,0.0,0.450107395624596,0.0,0.450107395624596,0.225053697812298,0.0,0.0,0.0,0.225053697812298,0.0,0.0,0.0,0.225053697812298,0.450107395624596,0.675161093436894,0.0,1.350322186873788,0.0,0.0,0.225053697812298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4443384
1951,1.5155972176390717,0.688907826199578,0.9644709566794091,0.13778156523991558,0.13778156523991558,0.0,0.0,0.0,0.0,0.8266893914394935,0.0,0.0,0.0,0.13778156523991558,0.13778156523991558,0.0,0.0,0.0,0.0,0.8266893914394935,0.27556313047983116,0.13778156523991558,0.41334469571974675,0.8266893914394935,0.0,0.0,0.13778156523991558,0.27556313047983116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7257865
1952,1.3204330545062881,1.1883897490556592,0.7922598327037729,0.9243031381544017,0.39612991635188644,0.2640866109012576,0.0,0.0,0.0,0.7922598327037729,0.0,0.0,0.0,0.0,0.2640866109012576,0.1320433054506288,0.0,0.0,0.1320433054506288,0.7922598327037729,0.6602165272531441,0.39612991635188644,0.6602165272531441,0.0,0.2640866109012576,0.0,0.0,1.0563464436050305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7573273
1953,1.0349406306307238,2.0698812612614477,0.0,0.3449802102102413,0.3449802102102413,0.0,0.6899604204204826,0.0,0.3449802102102413,1.0349406306307238,0.0,0.0,0.0,0.0,0.0,0.0,0.3449802102102413,0.0,0.0,0.6899604204204826,0.6899604204204826,0.6899604204204826,1.7249010510512064,0.0,0.0,0.0,0.0,1.3799208408409651,0.0,0.0,0.0,0.0,0.3449802102102413,0.0,0.0,0.0,0.0,0.0,2898717
